POSTED_BY,UNDER_CONSTRUCTION,PROPERTY_AGE,FURNISHED,APARTMENT_TYPE,FACING,NO._OF_ROOMS,BALCONY,POWER_BACKUP,AREA_IN_SQUARE_FT,READY_TO_MOVE,TRANSACTION_TYPE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,FACILITIES
Owner,YES,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1080.246914,YES,RESALE,"Srinivasa Nagar,Vizianagaram",17.809233,83.365307,31.5,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,1,YES,YES,597.1534653,YES,RESALE,"Noida Extension,Noida",28.579004,77.431173,19.3,"WATER SUPPLY, LIFT"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1980.19802,YES,RESALE,"PAL,Surat",21.17,72.83,92,"WATER SUPPLY, LIFT"
Dealer,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,820.802005,YES,RESALE,"Sakher Bazar,Kolkata",22.140267,88.403089,26.2,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,887.8787879,YES,RESALE,"Kamalgazi,Kolkata",22.54111,88.33778,29.3,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,712.1057986,YES,RESALE,"BataNagar,Kolkata",22.50686,88.223965,35,"WATER SUPPLY, LIFT"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,2080,YES,RESALE,"Doddakallasandra,Bangalore",12.880993,77.557654,130,"WATER SUPPLY, LIFT"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1026.15359,YES,RESALE,"Kolathur,Chennai",13.129471,80.208888,61.6,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1124.903026,YES,RESALE,"Zirakpur,Chandigarh",30.662283,76.822397,29,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1266.506603,YES,RESALE,"Dal-Dal Seoni Rd.,Raipur",20.736194,82.207683,42.2,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,748,YES,RESALE,"Benachity,Durgapur",23.554673,87.274204,18.7,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,4,YES,NO,2170.20617,YES,RESALE,"Kartik Nagar,Bangalore",25.254143,87.051365,140,"WATER SUPPLY, LIFT"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,932.0175439,YES,RESALE,"Valasaravakkam,Chennai",13.04394,80.17251,68,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1682.894579,YES,RESALE,"Whitefield,Bangalore",12.9958935,77.761394,140,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1195.090439,YES,RESALE,"Sector-150 Noida,Noida",28.429614,77.481711,74,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,775.1091703,YES,RESALE,"Madipakkam,Chennai",12.9623,80.1986,42.6,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1150.234742,YES,RESALE,"Juhi Kalan,Kanpur",26.428508,80.3089,49,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,750.0144234,YES,RESALE,"Mulund (East),Mumbai",19.1649,72.9608,130,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,4,YES,NO,2586.578531,YES,RESALE,"Sector-75 Noida,Noida",28.576117,77.382136,180,"WATER SUPPLY, LIFT"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1166.407465,YES,RESALE,"Okkiyam,Chennai",13.09,80.27,120,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1521.1439,YES,RESALE,"Whitefield,Bangalore",12.9958935,77.761394,100,"WATER SUPPLY, LIFT"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1040.066186,YES,RESALE,"Chandapura Anekal Road,Bangalore",12.80009,77.71182,88,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,4,YES,NO,1829.92465,YES,RESALE,"Sirvodem,Goa",15.487991,74.194385,85,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1150.369762,YES,RESALE,"Tapukara,Bhiwadi",28.2102,76.8606,28,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1530.891197,YES,RESALE,"Chandranagar,Palakkad",10.77917,76.65472,56,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1495.056667,YES,RESALE,"Sector-79 Noida,Noida",28.558047,77.392752,62,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,898.1058132,YES,RESALE,"Balkum,Maharashtra",19.222101,72.988231,110,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1190.059503,YES,RESALE,"Ambedkar Nagar,Maharashtra",18.45807,73.891059,170,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1056.059139,YES,RESALE,"Kolshet Road,Mumbai",19.249861,72.963866,120,"WATER SUPPLY, LIFT"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,950.04597,YES,RESALE,"NH-24 Highway,Ghaziabad",28.66667,77.41667,31,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,852.9188779,YES,RESALE,"Alandi,Pune",18.6771,73.8966,45,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1104.09398,YES,RESALE,"Seawoods,Maharashtra",19.015277,73.018382,250,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1250,YES,RESALE,"Wanwadi,Pune",18.496129,73.892902,90,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,1,YES,YES,610.0422337,YES,RESALE,"Kamothe,Lalitpur",19.0168,73.09646,52,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,4,YES,NO,1600.365798,YES,RESALE,"Mansarovar Extension,Jaipur",26.8626,75.7633,35,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,800,YES,RESALE,"Old Madras Road,Bangalore",12.990758,77.656104,46.4,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,1,YES,NO,618.0932759,YES,RESALE,"Pallikaranai,Chennai",12.9377,80.2153,33,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,928.135773,YES,RESALE,"Sector 132 Expressway,Noida",46.9096744,-114.053121,35,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,820.0040494,YES,RESALE,"Dhokali,Maharashtra",18.142544,75.10617,81,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,970.0636278,YES,RESALE,"Baner,Pune",18.558319,73.77588,93,"WATER SUPPLY, LIFT"
Dealer,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,949.5077802,YES,RESALE,"Bahadarabad,Haridwar",29.914435,78.055308,29.9,"WATER SUPPLY, LIFT"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,952.0182788,YES,RESALE,"Chharwada,Vapi",20.384847,72.930546,12.5,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1099.009901,YES,RESALE,"Sector 20 Kharghar,Maharashtra",19.049214,73.072916,99.9,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,878.4425451,YES,RESALE,"Ajmer Road,Jaipur",26.928785,75.828002,18.5,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,1,YES,YES,509.9778271,YES,RESALE,"Kazhipattur,Chennai",13.09,80.27,23,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1065.292096,YES,RESALE,"Khodiyar Colony,Jamnagar",22.474577,70.049742,31,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1595.084776,YES,RESALE,"Goregaon (East),Mumbai",19.1615,72.8731,270,"WATER SUPPLY, LIFT, SWIMMING POOL"
Builder,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1385.31848,YES,RESALE,"Hatia,Ranchi",23.280038,85.320296,48.5,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1295.088258,YES,RESALE,"Sector-74 Noida,Noida",28.577673,77.389781,67.5,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1150.086256,YES,RESALE,"Baner,Pune",18.558319,73.77588,80,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1660.050523,YES,RESALE,"Sector-76 Noida,Noida",28.567633,77.383124,92,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1319.648094,YES,RESALE,"Kommadi,Visakhapatnam",17.829244,83.334838,45,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1746.09696,YES,RESALE,"Thalassery,Kannur",11.75,75.49,85,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1200.092315,YES,RESALE,"Sector-3 Rajendra Nagar,Ghaziabad",28.684262,77.357147,52,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1945.272987,YES,RESALE,"Bannerghatta Road,Bangalore",12.808137,77.58308,150,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,1,YES,YES,750.0468779,YES,RESALE,"Lohegaon,Pune",18.595456,73.946088,40,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,1,YES,YES,540,YES,RESALE,"Phursungi,Pune",18.486657,73.953309,27,"WATER SUPPLY, LIFT"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1700.198356,YES,RESALE,"Peer Muchalla,Panchkula",30.660437,76.861517,60,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,1,YES,YES,458.5218703,YES,RESALE,"Boisar,Palghar",19.811319,72.76894,15.2,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,NORTH-EAST,1,YES,YES,400,YES,RESALE,"Sector 8 Airoli,Lalitpur",19.216097,72.821721,45,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1627.966755,YES,RESALE,"Hebbal,Bangalore",13.04034,77.591347,190,"WATER SUPPLY, LIFT"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1550,YES,RESALE,"Kushaiguda,Secunderabad",17.45,78.5,62,"WATER SUPPLY, LIFT"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1078.241637,YES,RESALE,"Jhotwara,Jaipur",26.955346,75.734793,39,"WATER SUPPLY, LIFT"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1500.133941,YES,RESALE,"Nirman Nagar,Jaipur",19.980678,79.297436,56,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,4,YES,NO,2600,YES,RESALE,"Vasundhara,Ghaziabad",28.65998,77.370279,130,"WATER SUPPLY, LIFT"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,10301.50754,YES,RESALE,"Nagadevanahalli,Bangalore",12.934424,77.493907,41,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1389.813582,YES,RESALE,"Whitefield,Bangalore",12.9958935,77.761394,83.5,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1345.023413,YES,RESALE,"Parel,Mumbai",42.049481,-87.681841,540,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1805.555556,YES,RESALE,"Thanisandra,Bangalore",13.055985,77.622157,130,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1129.827445,YES,RESALE,"Talawali Chanda,Indore",22.66667,75.75,27.5,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1935.483871,YES,RESALE,"Zirakpur,Chandigarh",30.662283,76.822397,66,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1215.361446,YES,RESALE,"Whitefield,Bangalore",12.9958935,77.761394,80.7,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1002.793496,YES,RESALE,"Kanjur Marg (East),Maharashtra",18.96,72.82,140,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1125.124461,YES,RESALE,"Sector-127 Mohali,Mohali",30.768683,76.650876,33.9,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1335.384615,YES,RESALE,"Jalukbari,Guwahati",26.154874,91.670312,43.4,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1046.025105,YES,RESALE,"Mahalunge,Pune",18.573994,73.753171,75,"WATER SUPPLY, LIFT"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,700,YES,RESALE,"Somatne Phata,Pune",18.700817,73.685514,42,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,1,YES,NO,709.9391481,YES,RESALE,"Bhayander (East),Mumbai",19.306722,72.861556,52.5,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,1,YES,YES,650.0541712,YES,RESALE,"Waghbil,Lalitpur",24.69028,78.41889,54,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1866.832607,YES,RESALE,"Sarjapur Road,Bangalore",12.86,77.786,150,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,1,YES,NO,800,YES,RESALE,"Akota,Vadodara",22.2951,73.1686,14.8,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1300.236407,YES,RESALE,"Kalikapur,Kolkata",22.12703,88.518729,55,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,1,YES,YES,699.6501749,YES,RESALE,"Siolim,Goa",15.62,73.767,42,"WATER SUPPLY, LIFT, SWIMMING POOL"
Builder,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,4,YES,NO,2485,YES,RESALE,"Zirakpur,Chandigarh",30.662283,76.822397,99.4,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1000,YES,RESALE,"Sarasnagar,Ahmednagar",19.08333,74.73333,52,"WATER SUPPLY, LIFT"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1280.097531,YES,RESALE,"Chinhat,Lucknow",26.882832,81.033767,42,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1470.287931,YES,RESALE,"Vaibhav Khand,Ghaziabad",28.9196,76.8972,72,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,850.0510031,YES,RESALE,"Vishwakarma Industrial Area,Jaipur",26.990304,75.784757,25,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1155.263158,YES,RESALE,"Mappedu,Chennai",13.09,80.27,43.9,"WATER SUPPLY, LIFT"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,900.0661813,YES,RESALE,"Sector-4 New Panvel,Maharashtra",18.966114,73.148278,68,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,NORTH-EAST,1,YES,NO,416.4262358,YES,RESALE,"New Panvel,Lalitpur",18.966114,73.148278,43.3,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,1,YES,NO,620.0177148,YES,RESALE,"Chromepet,Chennai",12.95161,80.14097,28,"WATER SUPPLY, LIFT"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,2100.025846,YES,RESALE,"Bandra (West),Mumbai",19.05444,72.84056,650,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1803.801859,YES,RESALE,"Sarjapur Road,Bangalore",12.86,77.786,130,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1569.858713,YES,RESALE,"Sahakara Nagar,Bangalore",13.064,77.58,120,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1981.047974,YES,RESALE,"Gandhi Nagar,Lalitpur",12.978,77.5783,600,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Builder,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,900,YES,RESALE,"Azad Nagar,Ratnagiri",19.13057,72.833721,27,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,840.0273009,YES,RESALE,"Malad (West),Lalitpur",19.1849,72.8347,160,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,YES,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1479.885057,YES,RESALE,"Pacific Golf Estate,Dehradun",30.33,78.06,51.5,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1172.136638,YES,RESALE,"Vijay Nagar,Indore",22.759741,75.889532,35,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,995.0248756,YES,RESALE,"Sector-18 Ulwe,Mumbai",18.973908,73.025106,78,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,1,YES,NO,584.03634,YES,RESALE,"E M Bypass,Kolkata",22.54111,88.33778,27,"WATER SUPPLY, LIFT"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,1,YES,NO,611.0711718,YES,RESALE,"Dhayari,Pune",18.430375,73.815337,34,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1230.12869,YES,RESALE,"Sector-74 Noida,Noida",28.577673,77.389781,65,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,712.081652,YES,RESALE,"BataNagar,Kolkata",22.50686,88.223965,30,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,1,YES,YES,475.0331418,YES,RESALE,"virar,Palghar",19.444083,72.835286,21.5,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1623.655914,YES,RESALE,"Sector-150 Noida,Noida",28.429614,77.481711,75.5,"WATER SUPPLY, LIFT"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1982.406145,YES,RESALE,"Sector-70 Mohali,Mohali",30.697795,76.714722,160,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,915.0326797,YES,RESALE,"Mapusa,Goa",15.59197,73.80894,35,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,1,YES,NO,475.0175932,YES,RESALE,"Kasar vadavali,Maharashtra",20.084522,72.900306,54,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,944.6153846,YES,RESALE,"Seethammadhara,Visakhapatnam",17.741878,83.308875,61.4,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1405.481377,YES,RESALE,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,40,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1660.072252,YES,RESALE,"Bablatala,Kolkata",22.54111,88.33778,96.5,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,909.526089,YES,RESALE,"Virar West,Maharashtra",19.4559,72.8114,38,"WATER SUPPLY, LIFT"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,4,YES,YES,3938.461538,YES,RESALE,"Kharghar,Lalitpur",24.69028,78.41889,320,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1244.444444,YES,RESALE,"Belatur,Bangalore",13.012767,77.756579,44.8,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1275.016139,YES,RESALE,"Thanisandra,Bangalore",13.055985,77.622157,79,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1177.212529,YES,RESALE,"Immadihalli,Bangalore",12.96573,77.763567,56,"WATER SUPPLY, LIFT"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1150.020125,YES,RESALE,"Hiranandani Gardens - Powai,Mumbai",19.124896,72.893503,400,"WATER SUPPLY, LIFT"
Dealer,YES,0-2,NO,RESIDENTIAL,NORTH-EAST,1,YES,NO,424.0088106,YES,RESALE,"Kandivali (East),Maharashtra",19.1955,72.8728,92.4,"WATER SUPPLY, LIFT"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,2000,YES,RESALE,"Rishra,Kolkata",22.7239,88.3456,70,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1460.427136,YES,RESALE,"Zirakpur,Chandigarh",30.662283,76.822397,46.5,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
